occupation,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
administrator,7.2518785222291795,7.4074074074074066,5.631067961165048,6.4453125,7.38504879766576,7.028237342953103,6.33245382585752,7.765208647561589,6.952662721893491,8.482400461627236,7.318908748824082,7.1457408155026245,7.338924895158216,7.8966370951103775,7.385292269013199,7.174887892376682,8.363481591828048,9.06148867313916
artist,2.0702880400751407,2.2601341498979295,3.356449375866852,2.818080357142857,2.0759969145118555,2.525189700211469,4.485488126649076,2.4082453494218203,1.7751479289940828,3.693017888055395,1.9190968955785512,3.169156237383932,3.1261913839115514,2.372601609242831,2.4198617221873038,2.1872426100485036,2.394126409874441,1.564185544768069
doctor,0.4304946775203507,0.41557305336832895,0.6102635228848822,0.390625,0.5634369654894859,0.510013683293942,1.7150395778364116,0.5957767722473605,0.5177514792899409,0.51933064050779,0.33866415804327377,0.5450141299959629,0.5146778497903164,0.6859913348462966,0.43997485857950974,0.5353710991122906,0.4681847201532241,0.2696871628910464
educator,7.662805259862242,8.180227471566054,7.295423023578364,8.231026785714286,9.078713485595467,8.81950491354646,14.116094986807386,10.739064856711915,8.284023668639055,11.656087709174841,7.902163687676388,9.709325797335486,10.141059855127716,10.336290488962245,7.738843494657448,8.0763247002837,10.693764630772504,10.194174757281553
engineer,8.9073262366938,9.477981918926801,10.069348127600556,8.816964285714286,8.179897373981285,7.600447816892649,6.728232189973616,7.92357968828557,9.245562130177515,8.366993652625505,7.751646284101598,8.901897456600727,6.957682043461685,7.540746853723953,9.577309868007543,7.8246545254873245,9.12960204298787,9.70873786407767
entertainment,1.9411396368190357,1.7935258092738406,1.7198335644937588,1.4369419642857142,1.9217225072944963,2.5625077745988305,3.034300791556728,2.0060331825037707,1.849112426035503,2.7120600115406805,3.6124176857949197,1.3726281792490918,2.5162028211971026,1.7433463998349492,2.2705845380263985,2.530429212043562,1.851457756969568,1.4563106796116505
executive,3.150438321853475,3.15689705453485,2.524271844660194,3.22265625,3.186101888184593,3.5576564249284734,3.430079155672823,3.534439416792358,3.698224852071006,3.346797461050202,2.8974600188146753,2.6443278159063386,3.8696149447197867,3.0585929440891273,3.064110622250157,3.7018394801866936,3.3198552883592254,2.6429341963322543
healthcare,2.254226675015654,2.347623213764946,2.46879334257975,2.9575892857142856,2.4180836435590436,2.487871625824108,5.936675461741425,3.2352941176470593,2.8106508875739644,2.8851702250432774,2.2953904045155222,2.5433992733144932,2.668699961875715,2.558283474314009,2.1055939660590823,2.585339068362771,2.4473292189827625,2.535059331175836
homemaker,0.3639636819035692,0.31350247885680954,0.24965325936199723,0.34877232142857145,0.30854881443471843,0.3109839532280135,0.2638522427440633,0.261437908496732,0.22189349112426035,0.2308136180034622,0.16933207902163688,0.3027856277755349,0.6099885627144491,0.3043119455333196,0.23570081709616592,0.4347030291937403,0.29793573100659715,
lawyer,1.1075453976205385,1.0352872557596968,0.9708737864077669,1.1579241071428572,1.542744072173592,1.3310113198158975,1.3192612137203166,1.3650075414781297,1.0355029585798818,2.07732256203116,1.1288805268109126,1.4533710133225677,1.4868471216164696,1.4029296472044563,1.1077938403519798,1.1302278759037248,1.510959778676314,1.8878101402373246
librarian,3.8666249217282407,3.89326334208224,4.410540915395284,4.017857142857143,5.285575342925177,4.602562507774599,6.33245382585752,6.41025641025641,4.068047337278107,5.539526832083093,4.25211665098777,4.804198627371821,5.585207777354174,6.400866515370332,3.9912005028284097,4.470577468655624,5.118110236220472,4.4228694714131604
marketing,1.862867877269881,1.7935258092738406,2.191400832177531,2.2739955357142856,1.7909246403058656,2.0027366587884066,1.58311345646438,2.0739064856711913,1.4792899408284024,2.308136180034622,1.6180620884289745,2.3011707710940654,2.4399542508577965,1.9702909015886116,1.7363293526084222,2.022513041090876,2.426048095339434,1.8878101402373246
none,1.17407639323732,1.1665208515602217,1.1927877947295422,1.26953125,0.8518630311567226,0.9205125015549197,0.13192612137203166,0.6711915535444947,0.8875739644970414,0.6924408540103866,1.0536218250235183,0.8679854662898667,0.6290507052992756,0.7685166082112647,1.1392206159648022,1.1988651963027364,0.5852309001915301,0.5393743257820928
other,10.433625547902317,10.374744823563722,11.678224687933426,12.248883928571429,10.611396183385317,10.274909814653563,8.575197889182059,10.801910507792861,10.650887573964498,8.424697057126371,10.06585136406397,11.425111021396852,11.036980556614564,11.192490200123787,9.75801382778127,10.611329733687198,10.640561821664184,9.277238403451996
programmer,9.079524107701943,9.033245844269466,8.654646324549237,8.119419642857142,8.09940637891136,8.272173155865158,6.728232189973616,7.013574660633484,8.653846153846153,8.136180034622043,7.318908748824082,7.771497779572063,7.148303469309951,7.1900144419228385,9.168761785040855,8.003111558524756,8.03362417535646,8.737864077669903
retired,1.0879774577332497,1.1592300962379702,0.9708737864077669,1.5066964285714286,1.713787436697186,1.7041920636895136,2.1108179419525066,1.822523881347411,1.6272189349112427,2.4812463935372184,1.2417685794920037,1.8772708922083166,1.8490278307281738,1.655663296884671,1.021370207416719,1.4139288002196393,1.5428814641413067,1.779935275080906
salesman,0.8688165309956167,0.7363662875473899,0.4160887656033287,0.5580357142857143,1.0530905188315391,0.9827092922005225,0.2638522427440633,0.7943690296631473,0.6656804733727811,0.8078476630121176,0.9219190968955786,0.5450141299959629,0.7624857033930614,0.8510418815762328,0.7699560025141421,0.9151642719868217,0.8193232602681422,0.8629989212513484
scientist,2.2072636192861617,2.063283756197142,1.6920943134535367,1.4927455357142858,1.7909246403058656,2.189327030725215,2.242744063324538,2.332830568124686,1.4792899408284024,2.2504327755337563,1.317027281279398,1.8368994751715786,2.3255813953488373,2.26428718795131,2.498428661219359,2.1414843964491626,2.713343264524367,1.2944983818770228
student,25.007827175954915,24.409448818897637,25.35367545076283,24.455915178571427,23.322265821511216,22.72670730190322,15.435356200527705,19.479638009049776,26.035502958579883,15.522215810732835,25.211665098777047,21.760193782801775,19.214639725505148,21.337940994429545,24.112193588937775,23.432781184222566,18.833794424345605,22.006472491909385
technician,4.214934251721979,4.05365995917177,3.661581137309293,3.0691964285714284,3.5382499916155212,3.408384127379027,3.16622691292876,3.237807943690297,2.8106508875739644,2.6543566070398152,3.085606773283161,3.5324989907145743,3.3739992375142966,3.2906952754281003,4.171904462602137,3.6377779811476163,4.075335177697383,4.800431499460625
writer,5.056355666875391,4.928550597841936,4.882108183079057,5.161830357142857,5.28222155146393,6.182360990172906,6.068601583113456,5.52790346907994,5.2514792899408285,7.212925562608194,8.579492003762935,5.490512716996367,6.404879908501715,5.178460903651743,5.287554996857322,5.971446874714012,4.7350500106405615,5.070118662351672
